,New_project_source_CB,Carbon_bomb_name,Company,Percentage,Potential_GtCO2_source_CB,GtCO2_by_Company,Company_name,Company_Country
229,False,Halfayah,TotalEnergies SE,18.8,1.409043856,0.264900244928,TotalEnergies SE,France
230,False,Hambach Coal Mine,RWE Power,100.0,1.7054961,1.7054961,RWE Power,Germany
231,False,Hamilton County Mine No.1,Alliance Resource Partners LP,100.0,1.184779292,1.184779292,Alliance Resource Partners LP,United States
232,False,Hanglaiwan Coal Mine,Shaanxi Yanchang Petroleum Group Co Ltd,37.6,1.780964196,0.669642537696,Shaanxi Yanchang Petroleum Group Co Ltd,China
233,False,Hanglaiwan Coal Mine,Shaanxi Youser Group,62.4,1.780964196,1.111321658304,Shaanxi Youser Group,China
234,False,Harmaliyah,No informations on company,100.0,1.028095523,1.028095523,,
235,False,Hassi Messaoud,Sonatrach SPA,100.0,1.215923408,1.215923408,Sonatrach SPA,Algeria
236,False,Hassi R'Mel (Domestic),Sonatrach SPA,100.0,2.271542343,2.271542343,Sonatrach SPA,Algeria
237,False,Haynesville/Bossier Shale,No informations on company,100.0,13.20413118,13.20413118,,
238,True,Hetaoyu Coal Mine,China Huaneng Group Co Ltd,100.0,3.00081606,3.00081606,China Huaneng Group Co Ltd,China
239,False,Hongliulin Coal Mine,China Development Bank,19.0,3.08990088,0.5870811672,China Development Bank,China
240,False,Hongliulin Coal Mine,Shaanxi Yulin Energy Group Co Ltd,25.0,3.08990088,0.77247522,Shaanxi Yulin Energy Group Co Ltd,China
