Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
Yankuang Group,Shandong Energy Group,"7,22",Shandong Energy Group,2,Personne 1,1,"https://www.gem.wiki/Yanzhou_Coal

https://www.gem.wiki/%E5%85%96%E5%B7%9E%E7%85%A4%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%B5%8E%E5%AE%81%E4%B8%89%E5%8F%B7%E7%85%A4%E7%9F%BF",détenu par Yanzhou coal
A-Property LLC,,"6,892",,,Personne 1,1,,détenu par AP Holding mais introuvable
Stanmore Resources Ltd,Sinar Mas Tunggal,"6,233",Sinar Mas Tunggal,2,Personne 1,1,https://www.gem.wiki/South_Walker_Creek_Coal_Mine,détenue au troisième niveau
BHP,BHP Group,"3,918",,3,Personne 1,1,,
Drummond Company Inc,,"5,892",,,Personne 1,1,https://www.gem.wiki/Drummond,détenue par des personnes
Vedanta Ltd,Vedanta Resources,"5,694",Vedanta Resources,2,Personne 1,1,"https://fr.wikipedia.org/wiki/Vedanta_Resources

https://www.gem.wiki/Vedanta_Resources",Vendata Resources LC basée à Londres et active en Inde
Jindal Group,Jindal Steel & Power,"5,583",Jindal Steel & Power,3,Personne 1,1,https://www.gem.wiki/Jindal_Steel_%26_Power,Jindal Steel and Power is a part of the O. P. Jindal Group
Huaihe Energy,Province of Anhui China,"5,215811",Province of Anhui China,2,Personne 1,1,https://www.gem.wiki/Huainan_Fengtai_power_station,"détenue par Huainan MINING elle-même détenue par Huaihe Energy
Holding Group détenue par State-owned Assets
Supervision and
Administration
Commission of the
People's Government
of Anhui Province"
Shaanxi Yanchang Petroleum [Group] Company,Shaanxi Yanchang Petroleum Group,"5,101",Shaanxi Yanchang Petroleum Group,3,Personne 1,1,,
Xinjiang Energy Group,Xinjiang Prouince State-owned Assets Management Commission,"5,01113",Xinjiang Prouince State-owned Assets Management Commission,1,Personne 1,1,https://www.opensanctions.org/entities/NK-iJndYC9Ahf4RSaPMQkfuqa/,
Coal Company Razrez Mairykhsky LLC,,"4,93",,,Personne 1,1,https://www.opensanctions.org/entities/NK-fyf5wsQSbJHEsjXcyvEeKQ/,"détenue par LIMITED LIABILITY COMPANY KOULSTAR alias Coalstar LLC
"
Shanghai Electric Group,Shanghai Electric Holding Group,"4,286",Shanghai Electric Holding Group,2,Personne 1,1,https://www.gem.wiki/Shanghai_Electric_Australia_Power_%26_Energy_Development,
Tebian Electric Apparatus [TBEA],TBEA,"4,19594",TBEA,3,Personne 1,1,https://en.wikipedia.org/wiki/TBEA,
Bayan Resources,,"4,168",,,Personne 1,1,https://www.gem.wiki/Tabang_Project_Coal_Mines,détenue par des personnes
Inner Mongolia Huineng Coal and Electricity Group,Huineng Holdings Group,"4,00295",Huineng Holdings Group,1,Personne 1,1,https://www.gem.wiki/Huineng_Changtan_power_station,
Government of the Republic of Serbia,,"3,888",,,Personne 1,1,,
Beijing Huayuan Jiaxin Investment Company,,"3,867",,,Personne 1,1,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%B1%87%E8%83%BD%E7%85%A4%E7%94%B5%E9%9B%86%E5%9B%A2%E5%AF%8C%E6%B0%91%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,a l'air détenue par des personnes
West Bengal Power Development Corporation,,"3,851",,,Personne 1,1,https://www.opensanctions.org/entities/gem-own-e100001000512/,détenue par State of West Bengal
Jinneng Holding Group,Shanxi State-owned Capital Investment Operation,"3,8286",Shanxi State-owned Capital Investment Operation,3,Personne 1,1,https://www.gem.wiki/Hefei-2_power_station,
Ming Hing Waterworks Holdings,,"3,75",,,Personne 1,1,https://www.opensanctions.org/entities/gem-own-e100000131919/,aka Peace Map holding
China Cinda Asset Management Company,,"3,7230769",,,Personne 1,1,"https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%B1%BE%E8%A5%BF%E7%91%9E%E6%B3%B0%E4%BA%95%E7%9F%BF%E6%AD%A3%E8%A1%8C%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8

https://en.wikipedia.org/wiki/China_Cinda_Asset_Management",a l'air détenue par le ministère des finances chinois
Futura Resources,,"3,4685",,,Personne 1,1,https://www.gem.wiki/Fairhill_Coal_Mine,
Yang Quan Coal Industry Group,Huayang New Material Technology Group,"3,412",Huayang New Material Technology Group,3,Personne 1,1,https://www.gem.wiki/Xinyuan_Coal_Mine,Yang Quan Coal Industry Group est l'ancien nom
Lu'an Chemical Group,Shanxi State-owned Capital Investment Operation,"3,3874",Shanxi State-owned Capital Investment Operation,2,Personne 1,1,https://www.opensanctions.org/entities/gem-own-e100000124611/,
Gujarat State Electricity Corporation,,"3,326",,,Personne 1,1,"https://www.gem.wiki/Gujarat_State_Electricity_Corporation

https://www.opensanctions.org/entities/gem-own-e100000001914/",state owned
Huo Investments Ltd,,"3,23646",,,Personne 1,1,https://www.gem.wiki/Muchesu_Coal_Mine,a l'air en lien avec  Contango Holdings
Bighorn Mining Ltd,,"3,227",,,Personne 1,1,https://www.gem.wiki/Vista_Coal_Mine#cite_note-18,pas trouvé de owner
NLC India Limited,,"3,208",,,Personne 1,1,https://www.gem.wiki/NLC_India_Limited,state owned
Samruk-Energo JSC,Samruk-Kazyna,"3,051",Samruk-Kazyna,3,Personne 1,1,https://www.gem.wiki/Almaty-2_power_station,state owned
United Company RUSAL PJSC,EN+ Group International,"3,051",EN+ Group International,3,Personne 1,1,"https://www.gem.wiki/Bogatyr_Coal_Mine_(Kazakhstan)
https://www.opensanctions.org/entities/NK-25fK4oVYLqsU8QhqRiWYP9/",
Foresight Energy LLC,,"2,878",,,Personne 1,1,"https://www.gem.wiki/Foresight_Reserves
https://www.gem.wiki/Chris_Cline",owned by Chris Cline
