Series_Title,Released_Year,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes
Once Upon a Time... in Hollywood,2019,7.6,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,551309
Nelyubov,2017,7.6,Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Marina Vasileva,29765
The Florida Project,2017,7.6,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,95181
Just Mercy,2019,7.6,Destin Daniel Cretton,Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr.,46739
Gifted,2017,7.6,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,99643
The Peanut Butter Falcon,2019,7.6,Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,66346
Victoria,2015,7.6,Sebastian Schipper,Laia Costa,Frederick Lau,Franz Rogowski,Burak Yigit,52903
Mustang,2015,7.6,Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,35785
Guardians of the Galaxy Vol. 2,2017,7.6,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,569974
Baby Driver,2017,7.6,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,439406
Only the Brave,2017,7.6,Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,58371
Bridge of Spies,2015,7.6,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,287659
Incredibles 2,2018,7.6,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,250057
Moana,2016,7.6,Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,272784
Sicario,2015,7.6,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,371291
Creed,2015,7.6,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,247666
Leviafan,2014,7.6,Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,49397
Hell or High Water,2016,7.6,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,204175
Philomena,2013,7.6,Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,94212
Dawn of the Planet of the Apes,2014,7.6,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee,411599
El cuerpo,2012,7.6,Oriol Paulo,Jose Coronado,Hugo Silva,Belén Rueda,Aura Garrido,57549
Serbuan maut,2011,7.6,Gareth Evans,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah,190531
End of Watch,2012,7.6,David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,228132
Kari-gurashi no Arietti,2010,7.6,Hiromasa Yonebayashi,Amy Poehler,Mirai Shida,Ryûnosuke Kamiki,Tatsuya Fujiwara,80939
A Star Is Born,2018,7.6,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,334312
True Grit,2010,7.6,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,311822
Hævnen,2010,7.6,Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,38491
Despicable Me,2010,7.6,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,500851
50/50,2011,7.6,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,315426
Kick-Ass,2010,7.6,Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,524081
Celda 211,2009,7.6,Daniel Monzón,Luis Tosar,Alberto Ammann,Antonio Resines,Manuel Morón,63882
Moneyball,2011,7.6,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,369529
La piel que habito,2011,7.6,Pedro Almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,138959
Zombieland,2009,7.6,Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,520041
Die Welle,2008,7.6,Dennis Gansel,Jürgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich,102742
Sherlock Holmes,2009,7.6,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,583158
The Blind Side,2009,7.6,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,293266
The Visitor,2007,7.6,Tom McCarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass,41544
Seven Pounds,2008,7.6,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,286770
Eastern Promises,2007,7.6,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin,227760
Stardust,2007,7.6,Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen,255036
The Secret of Kells,2009,7.6,Tomm Moore,Nora Twomey,Evan McGuire,Brendan Gleeson,Mick Lally,31779
Inside Man,2006,7.6,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,339757
Gone Baby Gone,2007,7.6,Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,250590
La Vie En Rose,2007,7.6,Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner,82781
Huo Yuan Jia,2006,7.6,Ronny Yu,Jet Li,Li Sun,Yong Dong,Yun Qu,72863
The Illusionist,2006,7.6,Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell,354728
Dead Man's Shoes,2004,7.6,Shane Meadows,Paddy Considine,Gary Stretch,Toby Kebbell,Stuart Wolfenden,49728
Harry Potter and the Half-Blood Prince,2009,7.6,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,474827
300,2006,7.6,Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West,732876
Match Point,2005,7.6,Woody Allen,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode,206294
Watchmen,2009,7.6,Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,500799
Lord of War,2005,7.6,Andrew Niccol,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan,294140
Saw,2004,7.6,James Wan,Cary Elwes,Leigh Whannell,Danny Glover,Ken Leung,379020
"Synecdoche, New York",2008,7.6,Charlie Kaufman,Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener,83158
Mysterious Skin,2004,7.6,Gregg Araki,Brady Corbet,Joseph Gordon-Levitt,Elisabeth Shue,Chase Ellison,65939
Jeux d'enfants,2003,7.6,Yann Samuell,Guillaume Canet,Marion Cotillard,Thibault Verhaeghe,Joséphine Lebas-Joly,67360
Un long dimanche de fiançailles,2004,7.6,Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon,70925
The Station Agent,2003,7.6,Tom McCarthy,Peter Dinklage,Patricia Clarkson,Bobby Cannavale,Paul Benjamin,67370
21 Grams,2003,7.6,Alejandro G. Iñárritu,Sean Penn,Benicio Del Toro,Naomi Watts,Danny Huston,224545
Boksuneun naui geot,2002,7.6,Chan-wook Park,Kang-ho Song,Shin Ha-kyun,Bae Doona,Ji-Eun Lim,62659
Finding Neverland,2004,7.6,Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Radha Mitchell,198677
25th Hour,2002,7.6,Spike Lee,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Rosario Dawson,169708
The Butterfly Effect,2004,7.6,Eric Bress,J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters,451479
28 Days Later...,2002,7.6,Danny Boyle,Cillian Murphy,Naomie Harris,Christopher Eccleston,Alex Palmer,376853
Batoru rowaiaru,2000,7.6,Kinji Fukasaku,Tatsuya Fujiwara,Aki Maeda,Tarô Yamamoto,Takeshi Kitano,169091
The Royal Tenenbaums,2001,7.6,Wes Anderson,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Ben Stiller,266842
Y tu mamá también,2001,7.6,Alfonso Cuarón,Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,Ana López Mercado,115827
Harry Potter and the Sorcerer's Stone,2001,7.6,Chris Columbus,Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith,658185
The Others,2001,7.6,Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann,337651
Blow,2001,7.6,Ted Demme,Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths,240714
Enemy at the Gates,2001,7.6,Jean-Jacques Annaud,Jude Law,Ed Harris,Joseph Fiennes,Rachel Weisz,243729
Minority Report,2002,7.6,Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,508417
The Hurricane,1999,7.6,Norman Jewison,Denzel Washington,Vicellous Shannon,Deborah Kara Unger,Liev Schreiber,91557
American Psycho,2000,7.6,Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,Bill Sage,490062
Lola rennt,1998,7.6,Tom Tykwer,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri,188317
The Thin Red Line,1998,7.6,Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Kirk Acevedo,172710
Mulan,1998,7.6,Tony Bancroft,Barry Cook,Ming-Na Wen,Eddie Murphy,BD Wong,256906
Fear and Loathing in Las Vegas,1998,7.6,Terry Gilliam,Johnny Depp,Benicio Del Toro,Tobey Maguire,Michael Lee Gogin,259753
Funny Games,1997,7.6,Michael Haneke,Susanne Lothar,Ulrich Mühe,Arno Frisch,Frank Giering,65058
Dark City,1998,7.6,Alex Proyas,Rufus Sewell,Kiefer Sutherland,Jennifer Connelly,William Hurt,187927
Sleepers,1996,7.6,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric,186734
Lost Highway,1997,7.6,David Lynch,Bill Pullman,Patricia Arquette,John Roselius,Louis Eppolito,131101
Sense and Sensibility,1995,7.6,Ang Lee,Emma Thompson,Kate Winslet,James Fleet,Tom Wilkinson,102598
Die Hard: With a Vengeance,1995,7.6,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,364420
Dead Man,1995,7.6,Jim Jarmusch,Johnny Depp,Gary Farmer,Crispin Glover,Lance Henriksen,90442
The Bridges of Madison County,1995,7.6,Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak,73172
Apollo 13,PG,7.6,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,269197
Trois couleurs: Blanc,1994,7.6,Krzysztof Kieslowski,Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr,64390
Falling Down,1993,7.6,Joel Schumacher,Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin,171640
Dazed and Confused,1993,7.6,Richard Linklater,Jason London,Wiley Wiggins,Matthew McConaughey,Rory Cochrane,165465
My Cousin Vinny,1992,7.6,Jonathan Lynn,Joe Pesci,Marisa Tomei,Ralph Macchio,Mitchell Whitfield,107325
Omohide poro poro,1991,7.6,Isao Takahata,Miki Imai,Toshirô Yanagiba,Yoko Honna,Mayumi Izuka,27071
Delicatessen,1991,7.6,Marc Caro,Jean-Pierre Jeunet,Marie-Laure Dougnac,Dominique Pinon,Pascal Benezech,80487
Home Alone,1990,7.6,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,488817
The Godfather: Part III,1990,7.6,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Talia Shire,359809
When Harry Met Sally...,1989,7.6,Rob Reiner,Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby,195663
The Little Mermaid,1989,7.6,Ron Clements,John Musker,Jodi Benson,Samuel E. Wright,Rene Auberjonois,237696
The Naked Gun: From the Files of Police Squad!,1988,7.6,David Zucker,Leslie Nielsen,Priscilla Presley,O.J. Simpson,Ricardo Montalban,152871
"Planes, Trains & Automobiles",1987,7.6,John Hughes,Steve Martin,John Candy,Laila Robins,Michael McKean,124773
Lethal Weapon,1987,7.6,Richard Donner,Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan,236894
Blood Simple,1984,7.6,Joel Coen,Ethan Coen,John Getz,Frances McDormand,Dan Hedaya,87745
On Golden Pond,1981,7.6,Mark Rydell,Katharine Hepburn,Henry Fonda,Jane Fonda,Doug McKeon,27650
Mad Max 2,1981,7.6,George Miller,Mel Gibson,Bruce Spence,Michael Preston,Max Phipps,166588
The Warriors,1979,7.6,Walter Hill,Michael Beck,James Remar,Dorsey Wright,Brian Tyler,93878
The Muppet Movie,1979,7.6,James Frawley,Jim Henson,Frank Oz,Jerry Nelson,Richard Hunt,32802
Escape from Alcatraz,1979,7.6,Don Siegel,Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau,121731
Watership Down,1978,7.6,Martin Rosen,John Hubley,John Hurt,Richard Briers,Ralph Richardson,33656
Midnight Express,1978,7.6,Alan Parker,Brad Davis,Irene Miracle,Bo Hopkins,Paolo Bonacelli,73662
Close Encounters of the Third Kind,1977,7.6,Steven Spielberg,Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,184966
The Long Goodbye,1973,7.6,Robert Altman,Elliott Gould,Nina van Pallandt,Sterling Hayden,Mark Rydell,26337
Giù la testa,1971,7.6,Sergio Leone,Rod Steiger,James Coburn,Romolo Valli,Maria Monti,30144
Kelly's Heroes,1970,7.6,Brian G. Hutton,Clint Eastwood,Telly Savalas,Don Rickles,Carroll O'Connor,45338
The Jungle Book,1967,7.6,Wolfgang Reitherman,Phil Harris,Sebastian Cabot,Louis Prima,Bruce Reitherman,166409
Blowup,1966,7.6,Michelangelo Antonioni,David Hemmings,Vanessa Redgrave,Sarah Miles,John Castle,56513
A Hard Day's Night,1964,7.6,Richard Lester,John Lennon,Paul McCartney,George Harrison,Ringo Starr,40351
Breakfast at Tiffany's,1961,7.6,Blake Edwards,Audrey Hepburn,George Peppard,Patricia Neal,Buddy Ebsen,166544
Giant,1956,7.6,George Stevens,Elizabeth Taylor,Rock Hudson,James Dean,Carroll Baker,34075
From Here to Eternity,1953,7.6,Fred Zinnemann,Burt Lancaster,Montgomery Clift,Deborah Kerr,Donna Reed,43374
Lifeboat,1944,7.6,Alfred Hitchcock,Tallulah Bankhead,John Hodiak,Walter Slezak,William Bendix,26471
The 39 Steps,1935,7.6,Alfred Hitchcock,Robert Donat,Madeleine Carroll,Lucie Mannheim,Godfrey Tearle,51853
